uname,treatment,experiment,phase,session,time,shape,reinforcement
mo,1,1,1,1,55,sq,1
mo,1,1,1,1,64,sq,0
mo,1,1,1,1,74,sq,1
mo,1,1,1,1,84,sq,1
mo,1,1,1,2,13,sq,1
mo,1,1,1,2,21,sq,0
mo,1,1,1,2,30,sq,1
mo,1,1,1,2,39,sq,0
mo,1,1,1,2,51,sq,1
mo,1,1,1,2,60,sq,1
mo,1,1,1,2,69,sq,1
mo,1,1,1,2,79,sq,1
mo,1,1,1,2,88,sq,0
mo,1,1,1,3,9,sq,1
mo,1,1,1,3,19,sq,1
mo,1,1,1,3,29,sq,1
mo,1,1,1,3,39,sq,1
mo,1,1,1,3,49,sq,0
mo,1,1,1,3,59,sq,1
mo,1,1,1,3,70,sq,0
mo,1,1,1,3,80,sq,1
mo,1,1,1,3,90,sq,0
mo,1,1,1,4,12,sq,1
mo,1,1,1,4,21,sq,0
mo,1,1,1,4,31,sq,1
mo,1,1,1,4,42,sq,1
mo,1,1,1,4,52,sq,1
mo,1,1,1,4,61,sq,0
mo,1,1,1,4,72,sq,1
mo,1,1,1,4,82,sq,1
mo,1,1,1,5,15,sq,1
mo,1,1,1,5,24,sq,1
mo,1,1,1,5,33,sq,0
mo,1,1,1,5,43,sq,1
mo,1,1,1,5,54,sq,1
mo,1,1,1,5,63,sq,0
mo,1,1,1,5,85,sq,1
mo,1,1,1,6,15,sq,1
mo,1,1,1,6,24,sq,1
mo,1,1,1,6,35,sq,1
mo,1,1,1,6,45,sq,0
mo,1,1,1,6,57,sq,1
mo,1,1,1,6,67,sq,1
mo,1,1,1,6,78,sq,1
mo,1,1,1,6,88,sq,1
mo,1,1,2,1,11,sq,0
mo,1,1,2,1,20,sq,0
mo,1,1,2,1,57,tr,1
mo,1,1,2,1,76,tr,0
mo,1,1,2,2,16,tr,1
mo,1,1,2,2,35,tr,0
mo,1,1,2,2,51,ci,1
mo,1,1,2,2,73,ci,0
mo,1,1,2,3,15,tr,1
mo,1,1,2,3,46,di,1
mo,1,1,2,3,53,tr,0
mo,1,1,2,3,72,di,0
mo,1,1,2,4,19,tr,1
mo,1,1,2,4,32,tr,0
mo,1,1,2,4,50,di,1
mo,1,1,2,4,77,sq,0
mo,1,1,2,4,85,sq,0
mo,1,1,2,5,11,tr,1
mo,1,1,2,5,19,di,1
mo,1,1,2,5,37,ci,1
mo,1,1,2,5,45,ci,0
mo,1,1,2,5,61,di,0
mo,1,1,2,5,69,di,0
mo,1,1,2,5,88,tr,1
mo,1,1,2,6,16,ci,1
mo,1,1,2,6,30,di,1
mo,1,1,2,6,40,ci,0
mo,1,1,2,6,87,tr,1
mo,1,1,6,1,11,tr,1
mo,1,1,6,1,31,tr,0
mo,1,1,6,1,64,sq,0
mo,1,1,6,1,72,sq,0
mo,1,1,6,2,39,tr,1
mo,1,1,6,2,80,ci,1
mo,1,1,6,2,83,di,1
mo,1,1,6,2,87,di,0
mo,1,1,6,3,7,tr,1
mo,1,1,6,3,16,tr,0
mo,1,1,6,3,31,di,1
mo,1,1,6,3,40,ci,1
mo,1,1,6,3,59,tr,1
mo,1,1,6,3,67,ci,0
mo,1,1,6,3,81,tr,0
mo,1,1,6,3,89,tr,0
mo,1,1,6,4,17,tr,1
mo,1,1,6,4,26,ci,1
mo,1,1,6,4,53,sq,0
mo,1,1,6,4,61,sq,0
mo,1,1,6,4,86,tr,0
mo,1,1,6,5,17,tr,1
mo,1,1,6,5,66,ci,1
mo,1,1,6,6,17,ci,1
mo,1,1,6,6,38,tr,1
mo,1,1,6,6,57,tr,0
mo,1,1,6,6,79,ci,0
mo,1,1,4,1,18,sq,1
mo,1,1,4,1,75,sq,1
mo,1,1,4,1,84,sq,1
mo,1,1,4,2,14,sq,1
mo,1,1,4,2,24,sq,0
mo,1,1,4,2,33,sq,1
mo,1,1,4,2,43,sq,1
mo,1,1,4,2,54,sq,0
mo,1,1,4,2,65,sq,1
mo,1,1,4,2,76,sq,1
mo,1,1,4,2,86,sq,0
mo,1,1,4,3,5,sq,1
mo,1,1,4,3,15,sq,1
mo,1,1,4,3,26,sq,0
mo,1,1,4,3,34,sq,1
mo,1,1,4,3,44,sq,1
mo,1,1,4,3,52,sq,0
mo,1,1,4,3,61,sq,1
